品牌,型号,雪茄,税前价格,库存,折扣,原价,链接,更新时间
partagás,partagas - culebras,"partagas - culebras 3x3 pcs, wooden box",76.21,available,-3%,78.57,https://selected-cigars.com/en/partagas-culebras-1739,2020-04-06 19:21
juan lópez,juan lópez - selección no.1,juan lópez - selección no. 1 1 piece,10.90,available,0,10.90,https://selected-cigars.com/en/juan-lopez-seleccion-no-1,2020-04-06 19:21
juan lópez,juan lópez - selección no.1,"juan lópez - selección no. 1 25pcs, wooden box",256.40,available,-3%,264.33,https://selected-cigars.com/en/juan-lopez-seleccion-no-1,2020-04-06 19:21
jose la piedra,jose la piedra - cremas,jose la piedra - cremas 1 piece,1.95,available,0,1.95,https://selected-cigars.com/en/jose-la-piedra-cremas,2020-04-06 19:21
jose la piedra,jose la piedra - cremas,jose la piedra - cremas 5pcs,9.18,sold out,-3%,9.46,https://selected-cigars.com/en/jose-la-piedra-cremas,2020-04-06 19:21
montecristo,montecristo - open regata,montecristo - open regata 1 piece,10.00,available,0,10.00,https://selected-cigars.com/en/montecristo-open-regata,2020-04-06 19:21
montecristo,montecristo - open regata,"montecristo - open regata 1 piece, alu tubos",11.20,available,0,11.20,https://selected-cigars.com/en/montecristo-open-regata,2020-04-06 19:21
montecristo,montecristo - open regata,"montecristo - open regata 3pcs, alu tubos",31.61,small quantities available,-3%,32.59,https://selected-cigars.com/en/montecristo-open-regata,2020-04-06 19:21
montecristo,montecristo - open regata,"montecristo - open regata 20pcs, wooden box",188.18,available,-3%,194.00,https://selected-cigars.com/en/montecristo-open-regata,2020-04-06 19:21
partagás,partagás - coronas senior,"partagás - coronas senior 1 piece,alu tubos",6.80,available,0,6.80,https://selected-cigars.com/en/partagas-coronas-senior,2020-04-06 19:21
partagás,partagás - coronas senior,"partagás - coronas senior 25 pcs, alu tubos",159.95,small quantities available,-3%,164.90,https://selected-cigars.com/en/partagas-coronas-senior,2020-04-06 19:21
romeo y julieta,romeo y julieta - romeo no.2,"romeo y julieta - romeo no. 2 1 piece, alu tubos",6.90,available,0,6.90,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2,2020-04-06 19:21
romeo y julieta,romeo y julieta - romeo no.2,"romeo y julieta - romeo no. 2 3pcs, alu tubos",19.48,available,-3%,20.08,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2,2020-04-06 19:21
romeo y julieta,romeo y julieta - romeo no.2,"romeo y julieta - romeo no. 2 5pcs, alu tubos",32.47,available,-3%,33.47,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2,2020-04-06 19:21
romeo y julieta,romeo y julieta - romeo no.2,"romeo y julieta - romeo no. 2 10pcs, alu tubos",64.92,available,-3%,66.93,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2,2020-04-06 19:21
romeo y julieta,romeo y julieta - romeo no.2,"romeo y julieta - romeo no. 2 25pcs, alu tubos",162.31,available,-3%,167.33,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2,2020-04-06 19:21
partagás,partagás - serie d no.5,partagás - serie d no. 5 1 piece,10.00,available,0,10.00,https://selected-cigars.com/en/partagas-serie-d-no-5,2020-04-06 19:21
partagás,partagás - serie d no.5,"partagás - serie d no. 5 1 piece, alu tubo",11.30,available,0,11.30,https://selected-cigars.com/en/partagas-serie-d-no-5,2020-04-06 19:21
partagás,partagás - serie d no.5,"partagás - serie d no. 5 10pcs, wooden box",94.09,available,-3%,97.00,https://selected-cigars.com/en/partagas-serie-d-no-5,2020-04-06 19:21
partagás,partagás - serie d no.5,"partagás - serie d no. 5 25pcs, wooden box",235.22,available,-3%,242.50,https://selected-cigars.com/en/partagas-serie-d-no-5,2020-04-06 19:21
montecristo,montecristo - open junior,montecristo - open junior 1 piece,7.30,available,0,7.30,https://selected-cigars.com/en/montecristo-open-junior,2020-04-06 19:21
montecristo,montecristo - open junior,"montecristo - open junior 1 piece, alu tubos",8.50,small quantities available,0,8.50,https://selected-cigars.com/en/montecristo-open-junior,2020-04-06 19:21
montecristo,montecristo - open junior,"montecristo - open junior 3pcs, alu tubos",24.00,sold out,-3%,24.74,https://selected-cigars.com/en/montecristo-open-junior,2020-04-06 19:21
montecristo,montecristo - open junior,"montecristo - open junior 20pcs, wooden box",137.37,available,-3%,141.62,https://selected-cigars.com/en/montecristo-open-junior,2020-04-06 19:21
montecristo,montecristo - joyitas,montecristo - joyitas 1 piece,6.70,available,0,6.70,https://selected-cigars.com/en/montecristo-joyitas,2020-04-06 19:21
montecristo,montecristo - joyitas,"montecristo - joyitas 25pcs, wooden box",157.61,small quantities available,-3%,162.48,https://selected-cigars.com/en/montecristo-joyitas,2020-04-06 19:21
romeo y julieta,romeo y julieta - petit churchills,romeo y julieta - petit churchills 1 piece,9.80,available,0,9.80,https://selected-cigars.com/en/romeo-y-julieta-petit-churchills,2020-04-06 19:21
romeo y julieta,romeo y julieta - petit churchills,"romeo y julieta - petit churchills 1 piece, alu tubo",10.90,available,0,10.90,https://selected-cigars.com/en/romeo-y-julieta-petit-churchills,2020-04-06 19:21
romeo y julieta,romeo y julieta - petit churchills,"romeo y julieta - petit churchills 3pcs, alu tubo",30.77,available,-3%,31.72,https://selected-cigars.com/en/romeo-y-julieta-petit-churchills,2020-04-06 19:21
